+---------------------+----------------------------------------------+---------------------+---------------------+------------+
| id                  | TARTGET_PATH                                 | create_time         | goods_id            | CLUSTER_ID |
+---------------------+----------------------------------------------+---------------------+---------------------+------------+
| 1716667271076990977 | fluent-2021r1-ky_2.tar                       | 2023-10-24 12:05:46 | 1716670647546253314 | 11250      |
| 1717094141195984897 | vasp-5.6.3-compiler2021_intel2021.tar        | 2023-10-25 16:22:00 |                NULL | 11285      |
| 1718926603848060929 | easewave-v7.6-intelmpi.tar                   | 2023-10-30 17:43:33 | 1719160363114897409 | 11250      |
| 1719237707862183938 | vasp-2Feb2023-dtk22.10.tar.bz2               | 2023-10-31 14:19:46 |                NULL | 11250      |
| 1719237825663406082 | vasp-5.4.4-nfs3.2intel2022.1.0.tar.bz2       | 2023-10-31 14:20:14 |                NULL | 11276      |
| 1719647431607721985 | RDSim-v2-nulll.tar                           | 2023-11-01 17:27:52 |                NULL | 11276      |
| 1719721017764749313 | paraview-5.11.0-gcc731.tar                   | 2023-11-01 22:20:16 | 1719723434714697729 | 11271      |
| 1719734955793457154 | autodock-4.2.6-dcu2_hpcx_gcc_7.3.1.tar       | 2023-11-01 23:15:39 |                NULL | 11276      |
| 1720101388695203841 | jupyterlab-3.8.6-multi.python.tar            | 2023-11-02 23:31:44 | 1720103183408533506 | 11250      |
| 1720256778226446337 | WannierTools-2.7.0-intelmpi2017.tar          | 2023-11-03 09:49:11 |                NULL | 11271      |
| 1720365819707600898 | WannierTools-2.7.0-intelmpi2018.tar          | 2023-11-03 17:02:29 |                NULL | 11250      |
| 1721396755161231361 | qflux-2023r1-null.tar                        | 2023-11-06 13:19:03 |                NULL | 11271      |
| 1721434337903456257 | vasp-5.4.4-compiler2021_intel2021.tar        | 2023-11-06 15:48:24 |                NULL | 11250      |
| 1721478417139200001 | sph-7.5-intelmpi.tar                         | 2023-11-06 18:43:33 |                NULL | 11250      |
| 1721531335867445249 | vasp-11.06.2-compiler2021_intel2021test6.tar | 2023-11-06 22:13:50 | 1721808910528315393 | 11250      |
| 1721814946906714114 | acoustics-7.5-none.tar                       | 2023-11-07 17:00:48 | 1721815742361665538 | 11290      |
| 1721835118329671682 | emag-7.5-none.tar                            | 2023-11-07 18:20:57 | 1721835538087219201 | 11290      |
| 1722090210204073986 | sph-7.5-dcu.tar                              | 2023-11-08 11:14:36 | 1721478916966027265 | 11250      |
| 1722503853344370689 | litosim-develop-gcc.tar                      | 2023-11-09 14:38:16 |                NULL | 11271      |
| 1722561512206598146 | hefei_namd-dev-intempi2017.tar               | 2023-11-09 18:27:23 | 1717808211669913602 | 11271      |
| 1722626315412361218 | easewave-v7.60-mpi.tar                       | 2023-11-09 22:44:53 | 1719160363114897409 | 11276      |
| 1722794511926874113 | naviix-2023r1-null.tar                       | 2023-11-10 09:53:14 |                NULL | 11276      |
| 1722803074816593922 | lammps-5Jun2019-intelmpi2018.tar             | 2023-11-10 10:27:16 | 1722804197732417538 | 11271      |
| 1722803179375394818 | lammps-7Aug2019-intelmpi2018.tar             | 2023-11-10 10:27:41 | 1722804197732417538 | 11271      |
| 1722805220810260482 | lammps-5Jun2020-intelmpi2018.tar             | 2023-11-10 10:35:47 | 1722806204597829634 | 11250      |
| 1722806171927412738 | gromacs-2020.4-gcc7.3.1_intelmpi21.tar       | 2023-11-10 10:39:34 | 1722806901069324290 | 11250      |
| 1722806274025160706 | gromacs-2020.5-gcc7.3.1_intelmpi21.tar       | 2023-11-10 10:39:59 | 1722806901069324290 | 11250      |
| 1722808061428813826 | bedtools-2.31.0-none.tar                     | 2023-11-10 10:47:05 | 1722809132745236482 | 11250      |
| 1722810966532784130 | abinit-8.6.1-intelmpi2017.tar                | 2023-11-10 10:58:37 | 1722811201258528770 | 11250      |
| 1722813694260641794 | bowtie-1.3.0-none.tar                        | 2023-11-10 11:09:28 | 1722813932753944578 | 11250      |
| 1722814866178539521 | hmmer-3.4-gcc731.tar                         | 2023-11-10 11:14:07 | 1722815028272594945 | 11250      |
| 1722816661550366722 | fftw-3.3.10-intelmpi2017_double.tar          | 2023-11-10 11:21:15 | 1722817988196048897 | 11271      |
| 1722819997477470209 | hdf5-1.14.2-hpcx.tar                         | 2023-11-10 11:34:30 | 1722820194374787073 | 11250      |
| 1722821310824108033 | netcdf-4.6.1-hpcx.tar                        | 2023-11-10 11:39:44 | 1722821597525737474 | 11250      |
| 1722823079917617154 | openblas-0.3.24-gcc731.tar                   | 2023-11-10 11:46:45 | 1722862971956527106 | 11250      |
| 1722867451061174273 | wrf-3.9-intelmpi2017.tar                     | 2023-11-10 14:43:04 | 1722868390011633666 | 11271      |
| 1722870527563190273 | openfoam-v1812-intelmpi2021.tar              | 2023-11-10 14:55:18 | 1722871130897022977 | 11250      |
| 1722877476877991937 | paraview-5.11.0-gcc731.tar                   | 2023-11-10 15:22:55 | 1722877959604543489 | 11271      |
| 1722880003489976321 | gromacs-2022.1-dcu2_hpcx_gcc_7.3.1.tar       | 2023-11-10 15:32:57 |                NULL | 11285      |
| 1722885616894791681 | abacus-3.2.5-dtk23.04.tar                    | 2023-11-10 15:55:15 | 1722886297072467969 | 11276      |
| 1723174389847216130 | hisat2-2.2.1-none.tar                        | 2023-11-11 11:02:44 | 1723174963534635010 | 11250      |
| 1723176275711152130 | ncview-2.1.7-intel2017.tar                   | 2023-11-11 11:10:14 | 1723176923525578754 | 11250      |
| 1723178038227992577 | roms-3.6-hpcx_intel2017.tar                  | 2023-11-11 11:17:14 | 1723178558195769345 | 11250      |
| 1723179877187026945 | namd-2.15-dcu2_hpcx_gcc7.3.1.tar             | 2023-11-11 11:24:32 |                NULL | 11250      |
| 1723225186312179714 | autodock-4.2.6-dcu2_hpcx_gcc_7.3.1.tar       | 2023-11-11 14:24:35 |                NULL | 11250      |
| 1723952034755170305 | litosim-develop2-gcc.tar                     | 2023-11-13 14:32:49 |                NULL | 11271      |
| 1723991819066593282 | rdsim-latest-none.tar                        | 2023-11-13 17:10:55 |                NULL | 11276      |
| 1724324947584929794 | scotch-7.0.1-intelmpi2017.tar                | 2023-11-14 15:14:39 | 1724325064395202561 | 11250      |
| 1724324948969050113 | scotch-7.0.1-intelmpi2018.tar                | 2023-11-14 15:14:39 | 1724325064395202561 | 11250      |
| 1724324950365753345 | scotch-7.0.1-intelmpi2020.tar                | 2023-11-14 15:14:39 | 1724325064395202561 | 11250      |
| 1724324952109580290 | scotch-7.0.1-intelmpi2021.tar                | 2023-11-14 15:14:40 | 1724325064395202561 | 11250      |
| 1724611612631232514 | ncl-6.6.2-gcc4.8.5.tar                       | 2023-11-15 10:13:45 | 1724611630552420353 | 11250      |
| 1724611613998575617 | ncl_ncarg-6.5.0-gcc_4.8.5.tar                | 2023-11-15 10:13:45 | 1727530813062701058 | 11250      |
| 1724612442847571969 | gromacs-2022.1-dtk2_hpcx_gcc_7.3.1.tar       | 2023-11-15 10:17:03 | 1724612749392400386 | 11250      |
| 1724616817908215810 | gromacs-2022.1-dtk2_hpcx_gcc_7.3.1.tar       | 2023-11-15 10:34:26 | 1722880304661954561 | 11250      |
| 1724617159698935809 | autodock-4.2.6-dtk2_hpcx_gcc_7.3.1.tar       | 2023-11-15 10:35:47 | 1723226205905518594 | 11250      |
| 1724617299943878658 | namd-2.15-dtk2_hpcx_gcc7.3.1.tar             | 2023-11-15 10:36:21 | 1723181355721039873 | 11250      |
| 1724672233983799298 | hdf5-1.14.2-hpcx.tar                         | 2023-11-15 14:14:38 | 1724672360869892097 | 11276      |
| 1725049453508128769 | ncview-2.1.8-intel2017.tar                   | 2023-11-16 15:13:34 | 1727519628249657345 | 11276      |
| 1725049580437237762 | ncview-2.1.9-intel2017.tar                   | 2023-11-16 15:14:04 | 1727520768815132674 | 11276      |
| 1725096916034088962 | bcftools-1.10.2-none.tar                     | 2023-11-16 18:22:10 | 1725097023353753602 | 11250      |
| 1725119495210921985 | blast-2.10.0-none.tar                        | 2023-11-16 19:51:53 | 1725119931434242050 | 11250      |
| 1725119588517408770 | blast-2.13.0-none.tar                        | 2023-11-16 19:52:16 | 1727515725248458753 | 11250      |
| 1725395263862206465 | pegasim-2023.2-none.tar                      | 2023-11-17 14:07:42 |                NULL | 11250      |
| 1726936287746027521 | bedtools-2.29.1-none.tar                     | 2023-11-21 20:11:11 | 1722809132745236482 | 11250      |
| 1726936853498916865 | bedtools-2.30.0-none.tar                     | 2023-11-21 20:13:25 | 1722809132745236482 | 11250      |
| 1726937544243146753 | hisat2-2.0.5-none.tar                        | 2023-11-21 20:16:10 | 1723174963534635010 | 11250      |
| 1726937899537362946 | hisat2-2.1.0-none.tar                        | 2023-11-21 20:17:35 | 1723174963534635010 | 11250      |
| 1726938930691305473 | bowtie-1.2.3-none.tar                        | 2023-11-21 20:21:41 | 1722813932753944578 | 11250      |
| 1726939022907273218 | bowtie-1.3.1-none.tar                        | 2023-11-21 20:22:03 | 1722813932753944578 | 11250      |
| 1726940503487115266 | fftw-3.3.10-intelmpi2017_single.tar          | 2023-11-21 20:27:56 | 1722817988196048897 | 11250      |
| 1726940611071012865 | fftw-3.3.10-intelmpi2018_double.tar          | 2023-11-21 20:28:21 | 1722817988196048897 | 11250      |
| 1726940698580971522 | fftw-3.3.10-intelmpi2018_single.tar          | 2023-11-21 20:28:42 | 1722817988196048897 | 11250      |
| 1726940880757452802 | fftw-3.3.10-intelmpi2020_double.tar          | 2023-11-21 20:29:26 | 1722817988196048897 | 11250      |
| 1726940965381730305 | fftw-3.3.10-intelmpi2020_single.tar          | 2023-11-21 20:29:46 | 1722817988196048897 | 11250      |
| 1726941197708423169 | fftw-3.3.10-intelmpi2021_double.tar          | 2023-11-21 20:30:41 | 1722817988196048897 | 11250      |
| 1726941275742367745 | fftw-3.3.10-intelmpi2021_single.tar          | 2023-11-21 20:31:00 | 1722817988196048897 | 11250      |
| 1726941444160450561 | fftw-3.3.10-hpcx_double.tar                  | 2023-11-21 20:31:40 | 1722817988196048897 | 11250      |
| 1726941528924221442 | fftw-3.3.10-hpcx_single.tar                  | 2023-11-21 20:32:00 | 1722817988196048897 | 11250      |
| 1726943719817834497 | hdf5-1.14.2-intelmpi2017.tar                 | 2023-11-21 20:40:43 | 1722820194374787073 | 11250      |
| 1726943872268201986 | hdf5-1.14.2-intelmpi2018.tar                 | 2023-11-21 20:41:19 | 1722820194374787073 | 11250      |
| 1726943964476862466 | hdf5-1.14.2-intelmpi2020.tar                 | 2023-11-21 20:41:41 | 1722820194374787073 | 11250      |
| 1726944054193025025 | hdf5-1.14.2-intelmpi2021.tar                 | 2023-11-21 20:42:02 | 1722820194374787073 | 11250      |
| 1726945201830096897 | netcdf-4.6.1-intelmpi2017.tar                | 2023-11-21 20:46:36 | 1722821597525737474 | 11250      |
| 1726945289776263170 | netcdf-4.6.1-intelmpi2018.tar                | 2023-11-21 20:46:57 | 1722821597525737474 | 11250      |
| 1726945420609187841 | netcdf-4.6.1-intelmpi2020.tar                | 2023-11-21 20:47:28 | 1722821597525737474 | 11250      |
| 1726945541996539905 | netcdf-4.6.1-intelmpi2021.tar                | 2023-11-21 20:47:57 | 1722821597525737474 | 11250      |
| 1726948008633167874 | wrf-3.8-intelmpi2017.tar                     | 2023-11-21 20:57:45 | 1722868390011633666 | 11271      |
| 1726948900895846401 | wrf-4.0-intelmpi2017.tar                     | 2023-11-21 21:01:18 | 1722868390011633666 | 11250      |
| 1726949118579142658 | wrf-4.1-intelmpi2017.tar                     | 2023-11-21 21:02:10 | 1722868390011633666 | 11250      |
| 1726949216037990401 | wrf-4.2-intelmpi2017.tar                     | 2023-11-21 21:02:33 | 1722868390011633666 | 11250      |
| 1726949318769078273 | wrf-4.3-intelmpi2017.tar                     | 2023-11-21 21:02:57 | 1722868390011633666 | 11250      |
| 1726949409110192130 | wrf-4.4-intelmpi2017.tar                     | 2023-11-21 21:03:19 | 1722868390011633666 | 11250      |
| 1726949500772511746 | wrf-4.5-intelmpi2017.tar                     | 2023-11-21 21:03:41 | 1722868390011633666 | 11250      |
| 1726951277283635201 | namd-2.15-gcc7.3.1_dtk21.04.tar              | 2023-11-21 21:10:44 | 1723181355721039873 | 11250      |
| 1726951386071298050 | namd-2.15-hpcx_gcc7.3.1_dtk21.04.tar         | 2023-11-21 21:11:10 | 1723181355721039873 | 11250      |
| 1726953747334426625 | cp2k-2023.1-intelmpi_2018.tar                | 2023-11-21 21:20:33 | 1722561394443034625 | 11250      |
| 1726954295865503745 | cp2k-9.1-intelmpi_2018.tar                   | 2023-11-21 21:22:44 | 1722561394443034625 | 11250      |
| 1726954471510372353 | cp2k-9.1-intelmpi_2020.tar                   | 2023-11-21 21:23:26 | 1722561394443034625 | 11250      |
| 1726954560500920321 | cp2k-9.1-intelmpi_2021.tar                   | 2023-11-21 21:23:47 | 1722561394443034625 | 11250      |
| 1727134094369058818 | gromacs-2020.6-gcc7.3.1_intelmpi21.tar       | 2023-11-22 09:17:11 | 1722806901069324290 | 11250      |
| 1727134452214493185 | gromacs-2020.7-gcc7.3.1_intelmpi21.tar       | 2023-11-22 09:18:37 | 1722806901069324290 | 11250      |
| 1727134801751011329 | gromacs-2020.4-hpcx_gcc7.3.1.tar             | 2023-11-22 09:20:00 | 1722806901069324290 | 11250      |
| 1727134940498587650 | gromacs-2020.5-hpcx_gcc7.3.1.tar             | 2023-11-22 09:20:33 | 1722806901069324290 | 11250      |
| 1727135041166077954 | gromacs-2020.6-hpcx_gcc7.3.1.tar             | 2023-11-22 09:20:57 | 1722806901069324290 | 11250      |
| 1727135117535965185 | gromacs-2020.7-hpcx_gcc7.3.1.tar             | 2023-11-22 09:21:15 | 1722806901069324290 | 11250      |
| 1727147965154684929 | openfoam-10-gcc930.tar                       | 2023-11-22 10:12:18 | 1727148595579555842 | 11250      |
| 1727147967105036289 | openfoam-11-gcc930.tar                       | 2023-11-22 10:12:19 | 1727148595579555842 | 11250      |
| 1727147968728231937 | openfoam-7-intel2021.tar                     | 2023-11-22 10:12:19 | 1727148595579555842 | 11250      |
| 1727147975388786689 | abaqus-2017-none.tar                         | 2023-11-22 10:12:21 | 1727148600441753602 | 11250      |
| 1727147978363629569 | abaqus-2020-none.tar                         | 2023-11-22 10:12:22 | 1727148600441753602 | 11250      |
| 1727147980213317633 | cfx-19.2-none.tar                            | 2023-11-22 10:12:22 | 1727148612256108546 | 11250      |
| 1727147982196142082 | cfx-2020r2-none.tar                          | 2023-11-22 10:12:22 | 1727148612256108546 | 11250      |
| 1727147983782670337 | cfx-2021r1-none.tar                          | 2023-11-22 10:12:23 | 1727148612256108546 | 11250      |
| 1727147985267453953 | cfx-2022r1-none.tar                          | 2023-11-22 10:12:23 | 1727148612256108546 | 11250      |
| 1727147986349584386 | fluent-19.2-none.tar                         | 2023-11-22 10:12:23 | 1727148616539492354 | 11271      |
| 1727147988185608193 | fluent-2020r2-none.tar                       | 2023-11-22 10:12:24 | 1727148616539492354 | 11250      |
